=== Magic Number Search Results for Range 9-13 ===
Started at: Tue Jun 03 21:02:34 EDT 2025

=== Magic Number Search Results for Range 9-13 ===
Started at: Tue Jun 03 21:02:34 EDT 2025

PROGRESS: [9][Rook] 64 / 1024, Attempt 0
PROGRESS: [9][Rook] 78 / 1024, Attempt 0
PROGRESS: [9][Rook] 768 / 1024, Attempt 10000000
PROGRESS: [9][Rook] 759 / 1024, Attempt 10000000
PROGRESS: [9][Rook] 768 / 1024, Attempt 20000000
PROGRESS: [9][Rook] 778 / 1024, Attempt 20000000
PROGRESS: [9][Rook] 768 / 1024, Attempt 30000000
PROGRESS: [9][Rook] 778 / 1024, Attempt 30000000
PROGRESS: [9][Rook] 768 / 1024, Attempt 40000000
PROGRESS: [9][Rook] 778 / 1024, Attempt 40000000
PROGRESS: [9][Rook] 832 / 1024, Attempt 50000000
PROGRESS: [9][Rook] 778 / 1024, Attempt 50000000
PROGRESS: [9][Rook] 832 / 1024, Attempt 60000000
PROGRESS: [9][Rook] 778 / 1024, Attempt 60000000
PROGRESS: [9][Rook] 832 / 1024, Attempt 70000000
PROGRESS: [9][Rook] 780 / 1024, Attempt 70000000
PROGRESS: [9][Rook] 832 / 1024, Attempt 80000000
PROGRESS: [9][Rook] 780 / 1024, Attempt 80000000
PROGRESS: [9][Rook] 832 / 1024, Attempt 90000000
PROGRESS: [9][Rook] 800 / 1024, Attempt 90000000
PROGRESS: [9][Rook] 832 / 1024, Attempt 100000000
PROGRESS: [9][Rook] 800 / 1024, Attempt 100000000
PROGRESS: [9][Rook] 832 / 1024, Attempt 110000000
PROGRESS: [9][Rook] 800 / 1024, Attempt 110000000
[9][Rook] - 1252002102034289 - Took 116649510 attempts, 16.90 minutes
PROGRESS: [10][Rook] 225 / 1024, Attempt 0
PROGRESS: [9][Rook] 800 / 1024, Attempt 120000000
PROGRESS: [10][Rook] 657 / 1024, Attempt 10000000
PROGRESS: [9][Rook] 800 / 1024, Attempt 130000000
PROGRESS: [10][Rook] 672 / 1024, Attempt 20000000
PROGRESS: [9][Rook] 800 / 1024, Attempt 140000000
PROGRESS: [10][Rook] 768 / 1024, Attempt 30000000
PROGRESS: [10][Rook] 768 / 1024, Attempt 40000000
PROGRESS: [9][Rook] 800 / 1024, Attempt 150000000
PROGRESS: [10][Rook] 768 / 1024, Attempt 50000000
PROGRESS: [9][Rook] 800 / 1024, Attempt 160000000
PROGRESS: [10][Rook] 768 / 1024, Attempt 60000000
PROGRESS: [9][Rook] 800 / 1024, Attempt 170000000
PROGRESS: [10][Rook] 768 / 1024, Attempt 70000000
PROGRESS: [9][Rook] 800 / 1024, Attempt 180000000
PROGRESS: [10][Rook] 879 / 1024, Attempt 80000000
PROGRESS: [9][Rook] 800 / 1024, Attempt 190000000
PROGRESS: [10][Rook] 879 / 1024, Attempt 90000000
PROGRESS: [10][Rook] 879 / 1024, Attempt 100000000
PROGRESS: [9][Rook] 800 / 1024, Attempt 200000000
PROGRESS: [10][Rook] 879 / 1024, Attempt 110000000
PROGRESS: [9][Rook] 800 / 1024, Attempt 210000000
PROGRESS: [10][Rook] 879 / 1024, Attempt 120000000
PROGRESS: [9][Rook] 800 / 1024, Attempt 220000000
PROGRESS: [10][Rook] 879 / 1024, Attempt 130000000
PROGRESS: [9][Rook] 800 / 1024, Attempt 230000000
PROGRESS: [10][Rook] 879 / 1024, Attempt 140000000
PROGRESS: [9][Rook] 800 / 1024, Attempt 240000000
PROGRESS: [10][Rook] 879 / 1024, Attempt 150000000
PROGRESS: [10][Rook] 879 / 1024, Attempt 160000000
PROGRESS: [9][Rook] 800 / 1024, Attempt 250000000
PROGRESS: [10][Rook] 879 / 1024, Attempt 170000000
PROGRESS: [9][Rook] 800 / 1024, Attempt 260000000
PROGRESS: [10][Rook] 879 / 1024, Attempt 180000000
PROGRESS: [9][Rook] 800 / 1024, Attempt 270000000
PROGRESS: [10][Rook] 879 / 1024, Attempt 190000000
PROGRESS: [9][Rook] 800 / 1024, Attempt 280000000
PROGRESS: [10][Rook] 879 / 1024, Attempt 200000000
PROGRESS: [9][Rook] 800 / 1024, Attempt 290000000
PROGRESS: [10][Rook] 879 / 1024, Attempt 210000000
PROGRESS: [10][Rook] 879 / 1024, Attempt 220000000
PROGRESS: [9][Rook] 800 / 1024, Attempt 300000000
PROGRESS: [10][Rook] 879 / 1024, Attempt 230000000
PROGRESS: [9][Rook] 800 / 1024, Attempt 310000000
PROGRESS: [10][Rook] 879 / 1024, Attempt 240000000
PROGRESS: [9][Rook] 800 / 1024, Attempt 320000000
PROGRESS: [10][Rook] 879 / 1024, Attempt 250000000
PROGRESS: [9][Rook] 800 / 1024, Attempt 330000000
PROGRESS: [10][Rook] 879 / 1024, Attempt 260000000
PROGRESS: [9][Rook] 800 / 1024, Attempt 340000000
PROGRESS: [10][Rook] 879 / 1024, Attempt 270000000
