=== Magic Number Search Results for Range 33-37 ===
Started at: Tue Jun 03 21:02:34 EDT 2025

=== Magic Number Search Results for Range 33-37 ===
Started at: Tue Jun 03 21:02:34 EDT 2025

PROGRESS: [33][Rook] 855 / 1024, Attempt 420000000
PROGRESS: [35][Rook] 773 / 1024, Attempt 450000000
PROGRESS: [35][Rook] 773 / 1024, Attempt 460000000
PROGRESS: [33][Rook] 855 / 1024, Attempt 430000000
PROGRESS: [35][Rook] 773 / 1024, Attempt 470000000
PROGRESS: [33][Rook] 855 / 1024, Attempt 440000000
PROGRESS: [35][Rook] 773 / 1024, Attempt 480000000
PROGRESS: [33][Rook] 855 / 1024, Attempt 450000000
PROGRESS: [35][Rook] 773 / 1024, Attempt 490000000
PROGRESS: [36][Rook] 24 / 1024, Attempt 0
PROGRESS: [33][Rook] 855 / 1024, Attempt 460000000
PROGRESS: [36][Rook] 637 / 1024, Attempt 10000000
PROGRESS: [33][Rook] 855 / 1024, Attempt 470000000
PROGRESS: [36][Rook] 637 / 1024, Attempt 20000000
PROGRESS: [33][Rook] 855 / 1024, Attempt 480000000
PROGRESS: [36][Rook] 637 / 1024, Attempt 30000000
PROGRESS: [36][Rook] 673 / 1024, Attempt 40000000
PROGRESS: [33][Rook] 855 / 1024, Attempt 490000000
PROGRESS: [36][Rook] 673 / 1024, Attempt 50000000
PROGRESS: [34][Rook] 127 / 1024, Attempt 0
PROGRESS: [36][Rook] 673 / 1024, Attempt 60000000
PROGRESS: [34][Rook] 686 / 1024, Attempt 10000000
PROGRESS: [36][Rook] 673 / 1024, Attempt 70000000
PROGRESS: [34][Rook] 768 / 1024, Attempt 20000000
PROGRESS: [36][Rook] 673 / 1024, Attempt 80000000
PROGRESS: [34][Rook] 768 / 1024, Attempt 30000000
PROGRESS: [36][Rook] 673 / 1024, Attempt 90000000
PROGRESS: [34][Rook] 768 / 1024, Attempt 40000000
PROGRESS: [36][Rook] 697 / 1024, Attempt 100000000
PROGRESS: [34][Rook] 768 / 1024, Attempt 50000000
PROGRESS: [36][Rook] 697 / 1024, Attempt 110000000
PROGRESS: [34][Rook] 768 / 1024, Attempt 60000000
PROGRESS: [36][Rook] 697 / 1024, Attempt 120000000
PROGRESS: [34][Rook] 768 / 1024, Attempt 70000000
PROGRESS: [36][Rook] 740 / 1024, Attempt 130000000
PROGRESS: [36][Rook] 740 / 1024, Attempt 140000000
PROGRESS: [34][Rook] 768 / 1024, Attempt 80000000
PROGRESS: [36][Rook] 740 / 1024, Attempt 150000000
PROGRESS: [34][Rook] 768 / 1024, Attempt 90000000
PROGRESS: [36][Rook] 740 / 1024, Attempt 160000000
PROGRESS: [34][Rook] 768 / 1024, Attempt 100000000
PROGRESS: [36][Rook] 740 / 1024, Attempt 170000000
PROGRESS: [34][Rook] 768 / 1024, Attempt 110000000
PROGRESS: [36][Rook] 756 / 1024, Attempt 180000000
PROGRESS: [34][Rook] 768 / 1024, Attempt 120000000
PROGRESS: [36][Rook] 756 / 1024, Attempt 190000000
PROGRESS: [34][Rook] 768 / 1024, Attempt 130000000
PROGRESS: [36][Rook] 756 / 1024, Attempt 200000000
PROGRESS: [34][Rook] 768 / 1024, Attempt 140000000
PROGRESS: [36][Rook] 756 / 1024, Attempt 210000000
PROGRESS: [34][Rook] 769 / 1024, Attempt 150000000
PROGRESS: [36][Rook] 756 / 1024, Attempt 220000000
PROGRESS: [34][Rook] 769 / 1024, Attempt 160000000
PROGRESS: [36][Rook] 756 / 1024, Attempt 230000000
PROGRESS: [34][Rook] 769 / 1024, Attempt 170000000
PROGRESS: [36][Rook] 756 / 1024, Attempt 240000000
PROGRESS: [34][Rook] 769 / 1024, Attempt 180000000
PROGRESS: [36][Rook] 768 / 1024, Attempt 250000000
PROGRESS: [34][Rook] 769 / 1024, Attempt 190000000
PROGRESS: [36][Rook] 768 / 1024, Attempt 260000000
PROGRESS: [34][Rook] 773 / 1024, Attempt 200000000
PROGRESS: [36][Rook] 768 / 1024, Attempt 270000000
PROGRESS: [36][Rook] 768 / 1024, Attempt 280000000
PROGRESS: [34][Rook] 773 / 1024, Attempt 210000000
PROGRESS: [36][Rook] 769 / 1024, Attempt 290000000
PROGRESS: [34][Rook] 773 / 1024, Attempt 220000000
PROGRESS: [36][Rook] 770 / 1024, Attempt 300000000
PROGRESS: [34][Rook] 773 / 1024, Attempt 230000000
PROGRESS: [36][Rook] 770 / 1024, Attempt 310000000
PROGRESS: [34][Rook] 773 / 1024, Attempt 240000000
PROGRESS: [36][Rook] 770 / 1024, Attempt 320000000
PROGRESS: [34][Rook] 773 / 1024, Attempt 250000000
PROGRESS: [36][Rook] 770 / 1024, Attempt 330000000
PROGRESS: [34][Rook] 773 / 1024, Attempt 260000000
PROGRESS: [36][Rook] 770 / 1024, Attempt 340000000
PROGRESS: [34][Rook] 773 / 1024, Attempt 270000000
PROGRESS: [36][Rook] 770 / 1024, Attempt 350000000
PROGRESS: [34][Rook] 882 / 1024, Attempt 280000000
PROGRESS: [36][Rook] 770 / 1024, Attempt 360000000
PROGRESS: [34][Rook] 882 / 1024, Attempt 290000000
PROGRESS: [36][Rook] 770 / 1024, Attempt 370000000
PROGRESS: [34][Rook] 882 / 1024, Attempt 300000000
PROGRESS: [36][Rook] 770 / 1024, Attempt 380000000
PROGRESS: [34][Rook] 882 / 1024, Attempt 310000000
PROGRESS: [36][Rook] 770 / 1024, Attempt 390000000
PROGRESS: [34][Rook] 882 / 1024, Attempt 320000000
PROGRESS: [36][Rook] 770 / 1024, Attempt 400000000
PROGRESS: [34][Rook] 882 / 1024, Attempt 330000000
PROGRESS: [36][Rook] 770 / 1024, Attempt 410000000
PROGRESS: [34][Rook] 882 / 1024, Attempt 340000000
PROGRESS: [36][Rook] 770 / 1024, Attempt 420000000
PROGRESS: [36][Rook] 770 / 1024, Attempt 430000000
PROGRESS: [34][Rook] 882 / 1024, Attempt 350000000
PROGRESS: [36][Rook] 770 / 1024, Attempt 440000000
PROGRESS: [34][Rook] 882 / 1024, Attempt 360000000
PROGRESS: [36][Rook] 770 / 1024, Attempt 450000000
PROGRESS: [34][Rook] 882 / 1024, Attempt 370000000
PROGRESS: [36][Rook] 770 / 1024, Attempt 460000000
PROGRESS: [34][Rook] 882 / 1024, Attempt 380000000
PROGRESS: [36][Rook] 770 / 1024, Attempt 470000000
PROGRESS: [34][Rook] 882 / 1024, Attempt 390000000
PROGRESS: [36][Rook] 770 / 1024, Attempt 480000000
PROGRESS: [34][Rook] 882 / 1024, Attempt 400000000
PROGRESS: [36][Rook] 770 / 1024, Attempt 490000000
PROGRESS: [34][Rook] 882 / 1024, Attempt 410000000
PROGRESS: [37][Rook] 73 / 1024, Attempt 0
PROGRESS: [34][Rook] 882 / 1024, Attempt 420000000
PROGRESS: [37][Rook] 584 / 1024, Attempt 10000000
PROGRESS: [34][Rook] 882 / 1024, Attempt 430000000
PROGRESS: [37][Rook] 714 / 1024, Attempt 20000000
PROGRESS: [34][Rook] 882 / 1024, Attempt 440000000
PROGRESS: [37][Rook] 769 / 1024, Attempt 30000000
PROGRESS: [34][Rook] 882 / 1024, Attempt 450000000
PROGRESS: [37][Rook] 769 / 1024, Attempt 40000000
PROGRESS: [34][Rook] 882 / 1024, Attempt 460000000
PROGRESS: [37][Rook] 769 / 1024, Attempt 50000000
PROGRESS: [34][Rook] 882 / 1024, Attempt 470000000
PROGRESS: [37][Rook] 769 / 1024, Attempt 60000000
PROGRESS: [34][Rook] 882 / 1024, Attempt 480000000
PROGRESS: [37][Rook] 769 / 1024, Attempt 70000000
PROGRESS: [34][Rook] 882 / 1024, Attempt 490000000
PROGRESS: [37][Rook] 769 / 1024, Attempt 80000000
PROGRESS: [35][Rook] 38 / 1024, Attempt 0
PROGRESS: [37][Rook] 769 / 1024, Attempt 90000000
PROGRESS: [35][Rook] 640 / 1024, Attempt 10000000
PROGRESS: [37][Rook] 769 / 1024, Attempt 100000000
PROGRESS: [35][Rook] 672 / 1024, Attempt 20000000
PROGRESS: [35][Rook] 672 / 1024, Attempt 30000000
PROGRESS: [37][Rook] 769 / 1024, Attempt 110000000
PROGRESS: [35][Rook] 672 / 1024, Attempt 40000000
PROGRESS: [37][Rook] 769 / 1024, Attempt 120000000
PROGRESS: [35][Rook] 706 / 1024, Attempt 50000000
PROGRESS: [37][Rook] 769 / 1024, Attempt 130000000
PROGRESS: [35][Rook] 771 / 1024, Attempt 60000000
PROGRESS: [37][Rook] 769 / 1024, Attempt 140000000
PROGRESS: [35][Rook] 771 / 1024, Attempt 70000000
PROGRESS: [37][Rook] 769 / 1024, Attempt 150000000
PROGRESS: [35][Rook] 771 / 1024, Attempt 80000000
PROGRESS: [37][Rook] 769 / 1024, Attempt 160000000
PROGRESS: [35][Rook] 771 / 1024, Attempt 90000000
PROGRESS: [37][Rook] 769 / 1024, Attempt 170000000
PROGRESS: [35][Rook] 771 / 1024, Attempt 100000000
PROGRESS: [35][Rook] 771 / 1024, Attempt 110000000
PROGRESS: [37][Rook] 769 / 1024, Attempt 180000000
PROGRESS: [35][Rook] 771 / 1024, Attempt 120000000
PROGRESS: [37][Rook] 769 / 1024, Attempt 190000000
PROGRESS: [35][Rook] 771 / 1024, Attempt 130000000
PROGRESS: [37][Rook] 769 / 1024, Attempt 200000000
PROGRESS: [35][Rook] 771 / 1024, Attempt 140000000
PROGRESS: [37][Rook] 769 / 1024, Attempt 210000000
PROGRESS: [35][Rook] 771 / 1024, Attempt 150000000
